player,pick_dk,odds_under,odds_over,pct_under
Travon Walker,1.5,-190,145,0.6275033425298123
Aidan Hutchinson,1.5,200,-280,0.2906769706211501
Kayvon Thibodeaux,4.5,-205,150,0.6411928522372493
Ikem Ekwonu,4.5,-150,120,0.5746986093321316
Evan Neal,5.5,150,-205,0.35880714776278216
Ahmad Gardner,5.5,-150,120,0.5746986093321316
Charles Cross,6.5,-140,110,0.555167954788897
Derek Stingley Jr.,9.5,-225,165,0.6632189307424012
Jermaine Johnson II,9.5,-145,110,0.5598270164425229
Garrett Wilson,9.5,100,-130,0.46631649460590263
Drake London,10.5,125,-155,0.41618445296051654
Jameson Williams,11.5,-145,110,0.5598270164425229
Kyle Hamilton,12.5,-150,120,0.5746986093321316
Malik Willis,13.5,100,-130,0.46631649460590263
Jordan Davis,15.5,-130,100,0.5336835053940975
Chris Olave,16.5,-205,150,0.6411928522372493
Kenny Pickett,16.5,-105,-125,0.47757418034289995
Trent McDuffie,16.5,-115,-115,0.5
Trevor Penning,16.5,-160,120,0.583305061424049
Devin Lloyd,19.5,-105,-125,0.47757418034289995
George Karlaftis,22.5,110,-145,0.44017298355747725
Treylon Burks,23.5,-120,-110,0.5112040114787568
Zion Johnson,24.5,-125,-105,0.5224258196571
Tyler Linderbaum,27.5,105,-140,0.4504960980130703
Kenyon Green,27.5,-115,-115,0.5
Daxton Hill,28.5,-130,100,0.5336835053940975
Andrew Booth Jr.,29.5,130,-175,0.3955061960067697
Devonte Wyatt,29.5,-115,-115,0.5
Desmond Ridder,30.5,100,-130,0.46631649460590263
Nakobe Dean,30.5,100,-130,0.46631649460590263
Jahan Dotson,31.5,-145,110,0.5598270164425229
Boye Mafe,31.5,-130,100,0.5336835053940975
Arnold Ebiketie,31.5,105,-135,0.45531139401703785
Quay Walker,32.5,-125,-105,0.5224258196571
Kyler Gordon,32.5,-130,100,0.5336835053940975
Tyler Smith,32.5,-115,-115,0.5
Matt Corral,33.5,110,-145,0.44017298355747725
Kaiir Elam,33.5,-105,-125,0.47757418034289995
Lewis Cine,34.5,-145,110,0.5598270164425229
Skyy Moore,35.5,110,-145,0.44017298355747725
George Pickens,36.5,100,-130,0.46631649460590263
Bernhard Raimann,37.5,105,-135,0.45531139401703785
Logan Hall,38.5,-130,100,0.5336835053940975
Christian Watson,39.5,-130,100,0.5336835053940975
Breece Hall,39.5,-125,-105,0.5224258196571
Sam Howell,45.5,110,-145,0.44017298355747725
Roger McCreary,47.5,-115,-115,0.5
Trey McBride,50.5,100,-130,0.46631649460590263
John Metchie III,56.5,-115,-115,0.5
