player,current_team,position_ourlads
D.J. Humphries,ARI,LT
Justin Pugh,ARI,LG
Rodney Hudson,ARI,C
Will Hernandez,ARI,RG
Kelvin Beachum,ARI,RT
Jake Matthews,ATL,LT
Jalen Mayfield,ATL,LG
Matt Hennessy,ATL,C
Chris Lindstrom,ATL,RG
Kaleb McGary,ATL,RT
Ronnie Stanley,BAL,LT
Tyre Phillips,BAL,LG
Trystan Colon-Castillo,BAL,C
Kevin Zeitler,BAL,RG
Morgan Moses,BAL,RT
Dion Dawkins,BUF,LT
Ike Boettger,BUF,LG
Mitch Morse,BUF,C
Rodger Saffold,BUF,RG
Spencer Brown,BUF,RT
Cam Erving,CAR,LT
Pat Elflein,CAR,LG
Bradley Bozeman,CAR,C
Austin Corbett,CAR,RG
Taylor Moton,CAR,RT
Teven Jenkins,CHI,LT
Cody Whitehair,CHI,LG
Lucas Patrick,CHI,C
Dakota Dozier,CHI,RG
Larry Borom,CHI,RT
Jonah Williams,CIN,LT
Jackson Carman,CIN,LG
Ted Karras,CIN,C
Alex Cappa,CIN,RG
La'el Collins,CIN,RT
Jedrick Wills Jr.,CLE,LT
Joel Bitonio,CLE,LG
Nick Harris,CLE,C
Wyatt Teller,CLE,RG
Jack Conklin,CLE,RT
Tyron Smith,DAL,LT
Connor McGovern DAL,DAL,LG
Tyler Biadasz,DAL,C
Zack Martin,DAL,RG
Terence Steele,DAL,RT
Garett Bolles,DEN,LT
Dalton Risner,DEN,LG
Lloyd Cushenberry III,DEN,C
Graham Glasgow,DEN,RG
Billy Turner,DEN,RT
Taylor Decker,DET,LT
Jonah Jackson,DET,LG
Frank Ragnow,DET,C
Halapoulivaati Vaitai,DET,RG
Penei Sewell,DET,RT
David Bakhtiari,GB,LT
Jon Runyan,GB,LG
Josh Myers,GB,C
Royce Newman,GB,RG
Elgton Jenkins,GB,RT
Laremy Tunsil,HOU,LT
Tytus Howard,HOU,LG
Justin Britt,HOU,C
Justin McCray,HOU,RG
Charlie Heck,HOU,RT
Matt Pryor,IND,LT
Quenton Nelson,IND,LG
Ryan Kelly,IND,C
Will Fries,IND,RG
Braden Smith,IND,RT
Cam Robinson,JAX,LT
Ben Bartch,JAX,LG
Tyler Shatley,JAX,C
Brandon Scherff,JAX,RG
Jawaan Taylor,JAX,RT
Orlando Brown,KC,LT
Joe Thuney,KC,LG
Creed Humphrey,KC,C
Trey Smith,KC,RG
Lucas Niang,KC,RT
Rashawn Slater,LAC,LT
Matt Feiler,LAC,LG
Corey Linsley,LAC,C
Senio Kelemete,LAC,RG
Storm Norton,LAC,RT
Joseph Noteboom,LA,LT
David Edwards,LA,LG
Brian Allen,LA,C
Bobby Evans,LA,RG
Rob Havenstein,LA,RT
Kolton Miller,LV,LT
John Simpson,LV,LG
Andre James,LV,C
Denzelle Good,LV,RG
Brandon Parker,LV,RT
Terron Armstead,MIA,LT
Connor Williams,MIA,LG
Michael Deiter,MIA,C
Robert Hunt,MIA,RG
Liam Eichenberg,MIA,RT
Christian Darrisaw,MIN,LT
Ezra Cleveland,MIN,LG
Garrett Bradbury,MIN,C
Jesse Davis,MIN,RG
Brian O'Neill,MIN,RT
Isaiah Wynn,NE,LT
Michael Onwenu,NE,LG
David Andrews,NE,C
James Ferentz,NE,RG
Trent Brown,NE,RT
James Hurst,NO,LT
Andrus Peat,NO,LG
Erik McCoy,NO,C
Cesar Ruiz,NO,RG
Ryan Ramczyk,NO,RT
Andrew Thomas,NYG,LT
Shane Lemieux,NYG,LG
Jon Feliciano,NYG,C
Mark Glowinski,NYG,RG
Matt Gono,NYG,RT
Mekhi Becton,NYJ,LT
Alijah Vera-Tucker,NYJ,LG
Connor McGovern NYJ,NYJ,C
Laken Tomlinson,NYJ,RG
George Fant,NYJ,RT
Jordan Mailata,PHI,LT
Landon Dickerson,PHI,LG
Jason Kelce,PHI,C
Isaac Seumalo,PHI,RG
Lane Johnson,PHI,RT
Dan Moore Jr.,PIT,LT
Kevin Dotson,PIT,LG
Mason Cole,PIT,C
James Daniels,PIT,RG
Chukwuma Okorafor,PIT,RT
Stone Forsythe,SEA,LT
Damien Lewis,SEA,LG
Austin Blythe,SEA,C
Gabe Jackson,SEA,RG
Jake Curhan,SEA,RT
Trent Williams,SF,LT
Colton McKivitz,SF,LG
Alex Mack,SF,C
Daniel Brunskill,SF,RG
Mike McGlinchey,SF,RT
Donovan Smith,TB,LT
Aaron Stinnie,TB,LG
Ryan Jensen,TB,C
Shaq Mason,TB,RG
Tristan Wirfs,TB,RT
Taylor Lewan,TEN,LT
Aaron Brewer,TEN,LG
Ben Jones,TEN,C
Nate Davis,TEN,RG
Dillon Radunz,TEN,RT
Charles Leno Jr.,WAS,LT
Andrew Norwell,WAS,LG
Chase Roullier,WAS,C
Wes Schweitzer,WAS,RG
Samuel Cosmi,WAS,RT
